states,Year,Medical,Recreational
Alabama,1998,FALSE,FALSE
Alabama,1999,FALSE,FALSE
Alabama,2000,FALSE,FALSE
Alabama,2001,FALSE,FALSE
Alabama,2002,FALSE,FALSE
Alabama,2003,FALSE,FALSE
Alabama,2004,FALSE,FALSE
Alabama,2005,FALSE,FALSE
Alabama,2006,FALSE,FALSE
Alabama,2007,FALSE,FALSE
Alabama,2008,FALSE,FALSE
Alabama,2009,FALSE,FALSE
Alabama,2010,FALSE,FALSE
Alabama,2011,FALSE,FALSE
Alabama,2012,FALSE,FALSE
Alabama,2013,FALSE,FALSE
Alabama,2014,FALSE,FALSE
Alabama,2015,FALSE,FALSE
Alabama,2016,FALSE,FALSE
Alabama,2017,FALSE,FALSE
Alabama,2018,FALSE,FALSE
Alabama,2019,FALSE,FALSE
Alaska,1998,TRUE,FALSE
Alaska,1999,TRUE,FALSE
Alaska,2000,TRUE,FALSE
Alaska,2001,TRUE,FALSE
Alaska,2002,TRUE,FALSE
Alaska,2003,TRUE,FALSE
Alaska,2004,TRUE,FALSE
Alaska,2005,TRUE,FALSE
Alaska,2006,TRUE,FALSE
Alaska,2007,TRUE,FALSE
Alaska,2008,TRUE,FALSE
Alaska,2009,TRUE,FALSE
Alaska,2010,TRUE,FALSE
Alaska,2011,TRUE,FALSE
Alaska,2012,TRUE,FALSE
Alaska,2013,TRUE,FALSE
Alaska,2014,TRUE,TRUE
Alaska,2015,TRUE,TRUE
Alaska,2016,TRUE,TRUE
Alaska,2017,TRUE,TRUE
Alaska,2018,TRUE,TRUE
Alaska,2019,TRUE,TRUE
Arakansas,1998,FALSE,FALSE
Arakansas,1999,FALSE,FALSE
Arakansas,2000,FALSE,FALSE
Arakansas,2001,FALSE,FALSE
Arakansas,2002,FALSE,FALSE
Arakansas,2003,FALSE,FALSE
Arakansas,2004,FALSE,FALSE
Arakansas,2005,FALSE,FALSE
Arakansas,2006,FALSE,FALSE
Arakansas,2007,FALSE,FALSE
Arakansas,2008,FALSE,FALSE
Arakansas,2009,FALSE,FALSE
Arakansas,2010,FALSE,FALSE
Arakansas,2011,FALSE,FALSE
Arakansas,2012,FALSE,FALSE
Arakansas,2013,FALSE,FALSE
Arakansas,2014,FALSE,FALSE
Arakansas,2015,FALSE,FALSE
Arakansas,2016,TRUE,FALSE
Arakansas,2017,TRUE,FALSE
Arakansas,2018,TRUE,FALSE
Arakansas,2019,TRUE,FALSE
Arizona,1998,FALSE,FALSE
Arizona,1999,FALSE,FALSE
Arizona,2000,FALSE,FALSE
Arizona,2001,FALSE,FALSE
Arizona,2002,FALSE,FALSE
Arizona,2003,FALSE,FALSE
Arizona,2004,FALSE,FALSE
Arizona,2005,FALSE,FALSE
Arizona,2006,FALSE,FALSE
Arizona,2007,FALSE,FALSE
Arizona,2008,FALSE,FALSE
Arizona,2009,FALSE,FALSE
Arizona,2010,TRUE,FALSE
Arizona,2011,TRUE,FALSE
Arizona,2012,TRUE,FALSE
Arizona,2013,TRUE,FALSE
Arizona,2014,TRUE,FALSE
Arizona,2015,TRUE,FALSE
Arizona,2016,TRUE,FALSE
Arizona,2017,TRUE,FALSE
Arizona,2018,TRUE,FALSE
Arizona,2019,TRUE,FALSE
California,1998,TRUE,FALSE
California,1999,TRUE,FALSE
California,2000,TRUE,FALSE
California,2001,TRUE,FALSE
California,2002,TRUE,FALSE
California,2003,TRUE,FALSE
California,2004,TRUE,FALSE
California,2005,TRUE,FALSE
California,2006,TRUE,FALSE
California,2007,TRUE,FALSE
California,2008,TRUE,FALSE
California,2009,TRUE,FALSE
California,2010,TRUE,FALSE
California,2011,TRUE,FALSE
California,2012,TRUE,FALSE
California,2013,TRUE,FALSE
California,2014,TRUE,FALSE
California,2015,TRUE,FALSE
California,2016,TRUE,TRUE
California,2017,TRUE,TRUE
California,2018,TRUE,TRUE
California,2019,TRUE,TRUE
Colorado,1998,FALSE,FALSE
Colorado,1999,FALSE,FALSE
Colorado,2000,TRUE,FALSE
Colorado,2001,TRUE,FALSE
Colorado,2002,TRUE,FALSE
Colorado,2003,TRUE,FALSE
Colorado,2004,TRUE,FALSE
Colorado,2005,TRUE,FALSE
Colorado,2006,TRUE,FALSE
Colorado,2007,TRUE,FALSE
Colorado,2008,TRUE,FALSE
Colorado,2009,TRUE,FALSE
Colorado,2010,TRUE,FALSE
Colorado,2011,TRUE,FALSE
Colorado,2012,TRUE,TRUE
Colorado,2013,TRUE,TRUE
Colorado,2014,TRUE,TRUE
Colorado,2015,TRUE,TRUE
Colorado,2016,TRUE,TRUE
Colorado,2017,TRUE,TRUE
Colorado,2018,TRUE,TRUE
Colorado,2019,TRUE,TRUE
Connecticut,1998,FALSE,FALSE
Connecticut,1999,FALSE,FALSE
Connecticut,2000,FALSE,FALSE
Connecticut,2001,FALSE,FALSE
Connecticut,2002,FALSE,FALSE
Connecticut,2003,FALSE,FALSE
Connecticut,2004,FALSE,FALSE
Connecticut,2005,FALSE,FALSE
Connecticut,2006,FALSE,FALSE
Connecticut,2007,FALSE,FALSE
Connecticut,2008,FALSE,FALSE
Connecticut,2009,FALSE,FALSE
Connecticut,2010,FALSE,FALSE
Connecticut,2011,FALSE,FALSE
Connecticut,2012,TRUE,FALSE
Connecticut,2013,TRUE,FALSE
Connecticut,2014,TRUE,FALSE
Connecticut,2015,TRUE,FALSE
Connecticut,2016,TRUE,FALSE
Connecticut,2017,TRUE,FALSE
Connecticut,2018,TRUE,FALSE
Connecticut,2019,TRUE,FALSE
Delaware,1998,FALSE,FALSE
Delaware,1999,FALSE,FALSE
Delaware,2000,FALSE,FALSE
Delaware,2001,FALSE,FALSE
Delaware,2002,FALSE,FALSE
Delaware,2003,FALSE,FALSE
Delaware,2004,FALSE,FALSE
Delaware,2005,FALSE,FALSE
Delaware,2006,FALSE,FALSE
Delaware,2007,FALSE,FALSE
Delaware,2008,FALSE,FALSE
Delaware,2009,FALSE,FALSE
Delaware,2010,FALSE,FALSE
Delaware,2011,TRUE,FALSE
Delaware,2012,TRUE,FALSE
Delaware,2013,TRUE,FALSE
Delaware,2014,TRUE,FALSE
Delaware,2015,TRUE,FALSE
Delaware,2016,TRUE,FALSE
Delaware,2017,TRUE,FALSE
Delaware,2018,TRUE,FALSE
Delaware,2019,TRUE,FALSE
Florida,1998,FALSE,FALSE
Florida,1999,FALSE,FALSE
Florida,2000,FALSE,FALSE
Florida,2001,FALSE,FALSE
Florida,2002,FALSE,FALSE
Florida,2003,FALSE,FALSE
Florida,2004,FALSE,FALSE
Florida,2005,FALSE,FALSE
Florida,2006,FALSE,FALSE
Florida,2007,FALSE,FALSE
Florida,2008,FALSE,FALSE
Florida,2009,FALSE,FALSE
Florida,2010,FALSE,FALSE
Florida,2011,FALSE,FALSE
Florida,2012,FALSE,FALSE
Florida,2013,FALSE,FALSE
Florida,2014,FALSE,FALSE
Florida,2015,FALSE,FALSE
Florida,2016,TRUE,FALSE
Florida,2017,TRUE,FALSE
Florida,2018,TRUE,FALSE
Florida,2019,TRUE,FALSE
Georgia,1998,FALSE,FALSE
Georgia,1999,FALSE,FALSE
Georgia,2000,FALSE,FALSE
Georgia,2001,FALSE,FALSE
Georgia,2002,FALSE,FALSE
Georgia,2003,FALSE,FALSE
Georgia,2004,FALSE,FALSE
Georgia,2005,FALSE,FALSE
Georgia,2006,FALSE,FALSE
Georgia,2007,FALSE,FALSE
Georgia,2008,FALSE,FALSE
Georgia,2009,FALSE,FALSE
Georgia,2010,FALSE,FALSE
Georgia,2011,FALSE,FALSE
Georgia,2012,FALSE,FALSE
Georgia,2013,FALSE,FALSE
Georgia,2014,FALSE,FALSE
Georgia,2015,FALSE,FALSE
Georgia,2016,FALSE,FALSE
Georgia,2017,FALSE,FALSE
Georgia,2018,FALSE,FALSE
Georgia,2019,FALSE,FALSE
Hawaii,1998,FALSE,FALSE
Hawaii,1999,FALSE,FALSE
Hawaii,2000,TRUE,FALSE
Hawaii,2001,TRUE,FALSE
Hawaii,2002,TRUE,FALSE
Hawaii,2003,TRUE,FALSE
Hawaii,2004,TRUE,FALSE
Hawaii,2005,TRUE,FALSE
Hawaii,2006,TRUE,FALSE
Hawaii,2007,TRUE,FALSE
Hawaii,2008,TRUE,FALSE
Hawaii,2009,TRUE,FALSE
Hawaii,2010,TRUE,FALSE
Hawaii,2011,TRUE,FALSE
Hawaii,2012,TRUE,FALSE
Hawaii,2013,TRUE,FALSE
Hawaii,2014,TRUE,FALSE
Hawaii,2015,TRUE,FALSE
Hawaii,2016,TRUE,FALSE
Hawaii,2017,TRUE,FALSE
Hawaii,2018,TRUE,FALSE
Hawaii,2019,TRUE,FALSE
Idaho,1998,FALSE,FALSE
Idaho,1999,FALSE,FALSE
Idaho,2000,FALSE,FALSE
Idaho,2001,FALSE,FALSE
Idaho,2002,FALSE,FALSE
Idaho,2003,FALSE,FALSE
Idaho,2004,FALSE,FALSE
Idaho,2005,FALSE,FALSE
Idaho,2006,FALSE,FALSE
Idaho,2007,FALSE,FALSE
Idaho,2008,FALSE,FALSE
Idaho,2009,FALSE,FALSE
Idaho,2010,FALSE,FALSE
Idaho,2011,FALSE,FALSE
Idaho,2012,FALSE,FALSE
Idaho,2013,FALSE,FALSE
Idaho,2014,FALSE,FALSE
Idaho,2015,FALSE,FALSE
Idaho,2016,FALSE,FALSE
Idaho,2017,FALSE,FALSE
Idaho,2018,FALSE,FALSE
Idaho,2019,FALSE,FALSE
Illinois,1998,FALSE,FALSE
Illinois,1999,FALSE,FALSE
Illinois,2000,FALSE,FALSE
Illinois,2001,FALSE,FALSE
Illinois,2002,FALSE,FALSE
Illinois,2003,FALSE,FALSE
Illinois,2004,FALSE,FALSE
Illinois,2005,FALSE,FALSE
Illinois,2006,FALSE,FALSE
Illinois,2007,FALSE,FALSE
Illinois,2008,FALSE,FALSE
Illinois,2009,FALSE,FALSE
Illinois,2010,FALSE,FALSE
Illinois,2011,FALSE,FALSE
Illinois,2012,FALSE,FALSE
Illinois,2013,TRUE,FALSE
Illinois,2014,TRUE,FALSE
Illinois,2015,TRUE,FALSE
Illinois,2016,TRUE,FALSE
Illinois,2017,TRUE,FALSE
Illinois,2018,TRUE,FALSE
Illinois,2019,TRUE,TRUE
Indiana,1998,FALSE,FALSE
Indiana,1999,FALSE,FALSE
Indiana,2000,FALSE,FALSE
Indiana,2001,FALSE,FALSE
Indiana,2002,FALSE,FALSE
Indiana,2003,FALSE,FALSE
Indiana,2004,FALSE,FALSE
Indiana,2005,FALSE,FALSE
Indiana,2006,FALSE,FALSE
Indiana,2007,FALSE,FALSE
Indiana,2008,FALSE,FALSE
Indiana,2009,FALSE,FALSE
Indiana,2010,FALSE,FALSE
Indiana,2011,FALSE,FALSE
Indiana,2012,FALSE,FALSE
Indiana,2013,FALSE,FALSE
Indiana,2014,FALSE,FALSE
